Tracker,Status,Priority,Subject,Category,Estimated time,Description,Caratteristica di riferimento
To-Do,New,Normal,"java:S3776:  ""Refactor this method to reduce its Cognitive Complexity from 84 to the 15 allowed.""",CRITICAL,1h14min,Key: AYfl9rkhd9SEFTPV55-e Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/pack200/ClassBands.java - startLine: 689;startOffset: 13;endOffset: 26;endLine: 689,Maintenance (Code Smells)
To-Do,New,Normal,"java:S3776:  ""Refactor this method to reduce its Cognitive Complexity from 117 to the 15 allowed.""",CRITICAL,1h47min,Key: AYfl9rvId9SEFTPV56Ek Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/archivers/tar/TarUtils.java - startLine: 748;startOffset: 41;endOffset: 56;endLine: 748,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1192:  ""Define a constant instead of duplicating this literal Wrote  55 times.""",CRITICAL,1h52min,Key: AYfl9rkhd9SEFTPV5592 Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/pack200/ClassBands.java - startLine: 914;startOffset: 19;endOffset: 27;endLine: 914,Maintenance (Code Smells)
To-Do,New,Normal,"java:S3776:  ""Refactor this method to reduce its Cognitive Complexity from 76 to the 15 allowed.""",CRITICAL,1h6min,Key: AYfl9rggd9SEFTPV552r Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/ClassBands.java - startLine: 329;startOffset: 17;endOffset: 36;endLine: 329,Maintenance (Code Smells)
To-Do,New,Normal,"java:S3776:  ""Refactor this method to reduce its Cognitive Complexity from 452 to the 15 allowed.""",CRITICAL,7h22min,Key: AYfl9rT3d9SEFTPV55ra Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/compressors/bzip2/BlockSort.java - startLine: 728;startOffset: 20;endOffset: 34;endLine: 728,Maintenance (Code Smells)
To-Do,New,Normal,"java:S3776:  ""Refactor this method to reduce its Cognitive Complexity from 31 to the 15 allowed.""",CRITICAL,21min,Key: AYfl9rnDd9SEFTPV56BS Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/archivers/sevenz/SevenZFile.java - startLine: 1916;startOffset: 17;endOffset: 42;endLine: 1916,Maintenance (Code Smells)
To-Do,New,Normal,"java:S3776:  ""Refactor this method to reduce its Cognitive Complexity from 31 to the 15 allowed.""",CRITICAL,21min,Key: AYfl9rh8d9SEFTPV555j Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/pack200/CodecEncoding.java - startLine: 90;startOffset: 24;endOffset: 32;endLine: 90,Maintenance (Code Smells)
To-Do,New,Normal,"java:S3776:  ""Refactor this method to reduce its Cognitive Complexity from 31 to the 15 allowed.""",CRITICAL,21min,Key: AYfl9rrSd9SEFTPV56Cy Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/archivers/zip/ZipArchiveEntry.java - startLine: 1001;startOffset: 17;endOffset: 33;endLine: 1001,Maintenance (Code Smells)
To-Do,New,Normal,"java:S3776:  ""Refactor this method to reduce its Cognitive Complexity from 32 to the 15 allowed.""",CRITICAL,22min,Key: AYfl9rjod9SEFTPV558a Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/pack200/NewAttributeBands.java - startLine: 901;startOffset: 17;endOffset: 39;endLine: 901,Maintenance (Code Smells)
To-Do,New,Normal,"java:S3776:  ""Refactor this method to reduce its Cognitive Complexity from 32 to the 15 allowed.""",CRITICAL,22min,Key: AYfl9rf2d9SEFTPV551j Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/NewAttributeBands.java - startLine: 945;startOffset: 16;endOffset: 38;endLine: 945,Maintenance (Code Smells)
